question,answer,text
Who is the keykeeper at Gringotts?,Griphook.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the keykeeper at Gringotts? [/INST] Griphook. </s>
Which of the following is a side effect of Wiggenweld Potion?,Healing injuries,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which of the following is a side effect of Wiggenweld Potion? [/INST] Healing injuries </s>
"Why does Harry celebrate Christmas at Hogwarts in ""Harry Potter and the Philosopher’s Stone""?",It’s a traditional holiday at the school.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Harry celebrate Christmas at Hogwarts in ""Harry Potter and the Philosopher’s Stone""? [/INST] It’s a traditional holiday at the school. </s>"
What replaced the Wizards' Council?,The Ministry of Magic.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What replaced the Wizards' Council? [/INST] The Ministry of Magic. </s>
The crop circles in Muggle legends might have been left by what magical creature?,Mooncalf,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: The crop circles in Muggle legends might have been left by what magical creature? [/INST] Mooncalf </s>
"Why does Dumbledore trust Snape despite his history in ""Harry Potter and the Half-Blood Prince""?",Because Snape made an Unbreakable Vow to protect Harry and carry out Dumbledore’s plan.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Dumbledore trust Snape despite his history in ""Harry Potter and the Half-Blood Prince""? [/INST] Because Snape made an Unbreakable Vow to protect Harry and carry out Dumbledore’s plan. </s>"
What would Peevsey do at the International Warlock Convention?,Wreak havoc,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What would Peevsey do at the International Warlock Convention? [/INST] Wreak havoc </s>
Who was the Minister of Magic during the events of 'Harry Potter and the Order of the Phoenix'?,Cornelius Fudge,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who was the Minister of Magic during the events of 'Harry Potter and the Order of the Phoenix'? [/INST] Cornelius Fudge </s>
Which character is known for their loyalty to Dumbledore and their role as the keeper of Gryffindor’s Sword?,Neville Longbottom.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which character is known for their loyalty to Dumbledore and their role as the keeper of Gryffindor’s Sword? [/INST] Neville Longbottom. </s>
What is the name of the game played on broomsticks at Hogwarts?,Quidditch,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the game played on broomsticks at Hogwarts? [/INST] Quidditch </s>
What is the name of the magical object that allows the user to view the thoughts of others?,Pensieve,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical object that allows the user to view the thoughts of others? [/INST] Pensieve </s>
Which witch created the cure for dragon pox?,Gunhilda de Gorsemoor,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which witch created the cure for dragon pox? [/INST] Gunhilda de Gorsemoor </s>
Who did Harry overhear in the Three Broomsticks talking about how Sirius Black betrayed his parents?,"Professor Flitwick, Professor McGonagall, Hagrid, Cornelius Fudge and Madam Rosmerta","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who did Harry overhear in the Three Broomsticks talking about how Sirius Black betrayed his parents? [/INST] Professor Flitwick, Professor McGonagall, Hagrid, Cornelius Fudge and Madam Rosmerta </s>"
"In which place does Harry meet Sirius Black in ""Harry Potter and the Prisoner of Azkaban""?",The Shrieking Shack.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place does Harry meet Sirius Black in ""Harry Potter and the Prisoner of Azkaban""? [/INST] The Shrieking Shack. </s>"
What is the name of the magical creature that resembles a large snake and can speak to humans?,Parseltongue,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical creature that resembles a large snake and can speak to humans? [/INST] Parseltongue </s>
What house is Justin Finch-Fletchley in?,Hufflepuff,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What house is Justin Finch-Fletchley in? [/INST] Hufflepuff </s>
What did Hagrid name his pet dragon?,Norbert,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What did Hagrid name his pet dragon? [/INST] Norbert </s>
In what potion is the Sneezewort featured?,Befuddlement Draught.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In what potion is the Sneezewort featured? [/INST] Befuddlement Draught. </s>
What did Fred and George Weasley call their joke shop?,Weasleys’ Wizard Wheezes,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What did Fred and George Weasley call their joke shop? [/INST] Weasleys’ Wizard Wheezes </s>
What teleportation magic do sixth-years learn at Hogwarts?,Apparition,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What teleportation magic do sixth-years learn at Hogwarts? [/INST] Apparition </s>
What spell did Snape invent that Harry later uses on Draco Malfoy?,Sectumsempra,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What spell did Snape invent that Harry later uses on Draco Malfoy? [/INST] Sectumsempra </s>
Which character is the founder of the Department of Magical Law Enforcement at the Ministry of Magic?,Amelia Bones.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which character is the founder of the Department of Magical Law Enforcement at the Ministry of Magic? [/INST] Amelia Bones. </s>
What is the name of the spell used to create a cloud of darkness?,Nox,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to create a cloud of darkness? [/INST] Nox </s>
What is the cure for being Petrified?,Mandrake root,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the cure for being Petrified? [/INST] Mandrake root </s>
What distinguishes Chameleon Ghouls from ordinary ghouls?,Their ability to change shape,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What distinguishes Chameleon Ghouls from ordinary ghouls? [/INST] Their ability to change shape </s>
